Sim_step,lamda_xx,lamda_yy,lamda_zz,lamda_yz,lamda_xz,lamda_xy
2.77,0.0077,0.0022,-0.0079,0.0053,-0.0027,0.0017
2.78,0.0078,0.0022,-0.008,0.0054,-0.0027,0.0017
2.79,0.0079,0.0023,-0.0081,0.0055,-0.0028,0.0017
2.8,0.008,0.0023,-0.0082,0.0056,-0.0028,0.0018
2.81,0.0082,0.0024,-0.0085,0.0057,-0.0029,0.0018
2.82,0.0084,0.0024,-0.0086,0.0058,-0.0029,0.0018
2.83,0.0085,0.0024,-0.0088,0.0059,-0.003,0.0019
2.84,0.0086,0.0025,-0.0088,0.006,-0.003,0.0019
2.85,0.0085,0.0024,-0.0088,0.0059,-0.003,0.0019
2.86,0.0087,0.0025,-0.0089,0.006,-0.003,0.0019
2.87,0.0088,0.0025,-0.009,0.0061,-0.0031,0.0019
2.88,0.0088,0.0025,-0.009,0.0061,-0.0031,0.0019
2.89,0.0088,0.0025,-0.009,0.0061,-0.0031,0.0019
2.9,0.0089,0.0025,-0.0091,0.0062,-0.0031,0.0019
2.91,0.0089,0.0025,-0.0091,0.0062,-0.0031,0.0019
2.92,0.009,0.0026,-0.0092,0.0062,-0.0032,0.002
2.93,0.0091,0.0026,-0.0093,0.0063,-0.0032,0.002
2.94,0.0091,0.0026,-0.0093,0.0063,-0.0032,0.002
2.95,0.0093,0.0026,-0.0095,0.0064,-0.0033,0.002
2.96,0.0095,0.0027,-0.0097,0.0066,-0.0033,0.0021
2.97,0.0097,0.0028,-0.0099,0.0067,-0.0034,0.0021
2.98,0.0098,0.0028,-0.01,0.0068,-0.0034,0.0021
2.99,0.0097,0.0027,-0.0099,0.0067,-0.0034,0.0021
3.0,0.0097,0.0027,-0.0098,0.0067,-0.0034,0.0021
3.01,0.0096,0.0027,-0.0098,0.0067,-0.0034,0.0021
3.02,0.0096,0.0027,-0.0097,0.0066,-0.0034,0.0021
3.03,0.0096,0.0027,-0.0098,0.0066,-0.0034,0.0021
3.04,0.0096,0.0027,-0.0097,0.0066,-0.0034,0.002
3.05,0.0096,0.0027,-0.0098,0.0066,-0.0034,0.0021
3.06,0.0096,0.0027,-0.0098,0.0066,-0.0034,0.0021
3.07,0.0099,0.0028,-0.01,0.0068,-0.0035,0.0021
3.08,0.0101,0.0028,-0.0102,0.0069,-0.0035,0.0022
3.09,0.0102,0.0029,-0.0104,0.0071,-0.0036,0.0022
3.1,0.0101,0.0029,-0.0103,0.007,-0.0036,0.0022
3.11,0.0099,0.0028,-0.01,0.0068,-0.0035,0.0021
3.12,0.0098,0.0027,-0.0099,0.0068,-0.0035,0.0021
3.13,0.0099,0.0028,-0.01,0.0068,-0.0035,0.0021
3.14,0.0099,0.0028,-0.01,0.0068,-0.0035,0.0021
3.15,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.0021
3.16,0.0098,0.0027,-0.0098,0.0067,-0.0035,0.0021
3.17,0.01,0.0028,-0.01,0.0068,-0.0035,0.0021
3.18,0.0102,0.0028,-0.0102,0.007,-0.0036,0.0021
