Fiber 2_right: Idx,x (mm),y (mm),z (mm),Cutting plane x
267,8.417498703298747,4.689290621093019,17.661787061153717,1.1
268,7.62428759995802,5.8858558230363265,17.70926498336112,1.1
269,6.662434795975671,6.950854544584993,17.756742905568522,1.1
270,5.553420398714994,7.860745589746955,17.804220827775925,1.1
271,4.3219749661401,8.595448894121635,17.851698749983328,1.1
272,2.9955280353328515,9.138788647494032,17.89917667219073,1.1
273,1.6035971554956268,9.478849406883377,17.946654594398133,1.1
274,1.1,9.529650359008878,17.96673519685871,1.1
275,1.1,7.804464194050132,18.063605951416438,1.1
276,1.1,6.079278029091385,18.160476705974165,1.1
277,1.1,4.35409186413264,18.257347460531893,1.1
278,1.1,2.628905699173893,18.35421821508962,1.1
279,1.1,0.9037195342151465,18.451088969647348,1.1
280,1.1,-0.8214666307435978,18.547959724205075,1.1
281,1.1,-2.5466527957023444,18.644830478762803,1.1
282,1.1,-4.271838960661091,18.74170123332053,1.1
283,1.1,-5.997025125619838,18.838571987878257,1.1
284,1.1,-7.722211290578584,18.935442742435985,1.1
285,1.1,-9.44739745553733,19.032313496993712,1.1
286,1.1541209449059322,-9.459027833602706,19.03864680516839,1.1
287,2.5459740721388737,-9.178961175512441,19.086124727375793,1.1
288,3.8802398574038586,-8.695354352677828,19.133602649583196,1.1
289,5.127344044794296,-8.019099391752523,19.1810805717906,1.1
290,6.259670028806154,-7.165356472964719,19.228558493998,1.1
291,7.252170407860789,-6.15321410175704,19.276036416205404,1.1
292,8.082921032199298,-5.0052623361108095,19.323514338412807,1.1
293,8.733605290808471,-3.747088610720467,19.370992260620206,1.1
294,9.189917940168643,-2.406707410174453,19.41847018282761,1.1
295,9.441879572022668,-1.0139365031698275,19.46594810503501,1.1
296,9.484054808033584,0.4002663736753171,19.513426027242414,1.1
297,9.315669451782401,1.8044916265455473,19.560903949449816,1.1
298,8.940624075374565,3.167575414771683,19.60838187165722,1.1
299,8.367403819010796,4.459291266798918,19.65585979386462,1.1
300,7.608886486108845,5.651020352820522,19.703337716072024,1.1
301,6.682053272781951,6.716385550796308,19.750815638279427,1.1
302,5.60760862863022,7.631835257848331,19.79829356048683,1.1
303,4.4095177580528295,8.377164025530902,19.845771482694232,1.1
304,3.114472093078778,8.93595850996954,19.893249404901635,1.1
305,1.7512946597402717,9.295958894771625,19.940727327109038,1.1
306,1.1,9.372246945359642,19.96673519685871,1.1
307,1.1,7.675679582882576,20.063605951416438,1.1
308,1.1,5.979112220405508,20.160476705974162,1.1
309,1.1,4.282544857928443,20.257347460531893,1.1
310,1.1,2.5859774954513752,20.35421821508962,1.1
311,1.1,0.8894101329743078,20.451088969647348,1.1
312,1.1,-0.8071572295027574,20.547959724205075,1.1
313,1.1,-2.5037245919798248,20.644830478762803,1.1
314,1.1,-4.200291954456892,20.74170123332053,1.1
315,1.1,-5.896859316933959,20.838571987878257,1.1
316,1.1,-7.593426679411026,20.935442742435985,1.1
317,1.1,-9.289994041888091,21.032313496993712,1.1
318,2.336217013621263,-9.075588092473026,21.080197460086698,1.1
319,3.65751276127649,-8.62427249562076,21.1276753822941,1.1
320,4.8965847753085106,-7.981868618394523,21.1751533045015,1.1
321,6.025992139658379,-7.162786341094285,21.222631226708902,1.1
322,7.02074982793509,-6.185346273901056,21.270109148916305,1.1
323,7.858881420294963,-5.071369996578785,21.317587071123707,1.1
324,8.521904598694606,-3.845692900372179,21.36506499333111,1.1
325,8.995238695417704,-2.535610507407917,21.412542915538513,1.1
326,9.268525308584103,-1.1702706111705061,21.460020837745915,1.1
327,9.335854935287593,0.21997522528555097,21.507498759953318,1.1
328,9.19589466492892,1.6042463850881856,21.55497668216072,1.1
329,8.85191417564474,2.951819128341653,21.602454604368123,1.1
330,8.311709536548099,4.232808501833083,21.649932526575526,1.1
331,7.587426587579403,5.418831092750824,21.69741044878293,1.1
332,6.6952878967322205,6.483633928662195,21.74488837099033,1.1
333,5.655229431840208,7.403675589088118,21.792366293197734,1.1
334,4.490455083608567,8.158646665857715,21.839844215405137,1.1
335,3.2269189938597336,8.731918065987248,21.88732213761254,1.1
336,1.89274723784572,9.110907261756559,21.934800059819942,1.1
337,1.1,9.214843531710404,21.96673519685871,1.1
338,1.1,7.546894971715016,22.063605951416438,1.1
339,1.1,5.878946411719629,22.160476705974162,1.1
340,1.1,4.210997851724242,22.257347460531893,1.1
341,1.1,2.543049291728855,22.35421821508962,1.1
342,1.1,0.8751007317334674,22.451088969647348,1.1
343,1.1,-0.7928478282619187,22.547959724205075,1.1
344,1.1,-2.4607963882573065,22.644830478762803,1.1
345,1.1,-4.1287449482526934,22.74170123332053,1.1
346,1.1,-5.796693508248082,22.838571987878257,1.1
