Fiber 1_left: Idx,x (mm),y (mm),z (mm),Cutting plane x
53,-1.0,-8.990711550643876,3.9487006378313385,-1
54,-1.0,-10.633206911255668,4.0302574645670575,-1
55,-2.003715302553319,-10.496811676276371,4.060039247573787,-1
56,-4.28088788777335,-9.785415217266431,4.131268006303151,-1
57,-6.342355693254018,-8.587045976579104,4.2024967650325165,-1
58,-8.085596227753301,-6.961932979249596,4.273725523761881,-1
59,-9.42405342350469,-4.991512558281603,4.344954282491246,-1
60,-10.291435273352024,-2.7743475820878065,4.41618304122061,-1
61,-10.644997034238354,-0.4211972657913026,4.487411799949975,-1
62,-10.467647399456744,1.9505158242546936,4.55864055867934,-1
63,-9.768773876697324,4.222565171893854,4.629869317408704,-1
64,-8.583747554793755,6.281813733784706,4.701098076138069,-1
65,-6.97213330658316,8.025847604560655,4.7723268348674335,-1
66,-5.014695973501132,9.36806939642846,4.843555593596799,-1
67,-2.809352995989847,10.24199802450508,4.914784352326163,-1
68,-1.0,10.561829363048384,4.970018717002713,-1
69,-1.0,8.943549912228782,5.051575543738432,-1
70,-1.0,7.325270461409181,5.133132370474151,-1
71,-1.0,5.70699101058958,5.214689197209869,-1
72,-1.0,4.088711559769979,5.296246023945588,-1
73,-1.0,2.4704321089503773,5.377802850681308,-1
74,-1.0,0.8521526581307768,5.459359677417026,-1
75,-1.0,-0.7661267926888264,5.540916504152745,-1
76,-1.0,-2.384406243508426,5.622473330888464,-1
77,-1.0,-4.002685694328027,5.704030157624182,-1
78,-1.0,-5.620965145147629,5.7855869843599015,-1
79,-1.0,-7.239244595967231,5.86714381109562,-1
80,-1.0,-8.85752404678683,5.9487006378313385,-1
81,-1.0,-10.475803497606432,6.0302574645670575,-1
82,-1.7926932940235882,-10.378577968647877,6.054444491995998,-1
83,-4.048979040578357,-9.716919060230175,6.125673250725363,-1
84,-6.101107328878285,-8.57166346822642,6.196902009454727,-1
85,-7.847013044744872,-7.000396420495155,6.268130768184092,-1
86,-9.200000137353328,-5.081875669394081,6.339359526913457,-1
87,-10.093046589858666,-2.912083965130771,6.410588285642821,-1
88,-10.48212429789959,-0.5994271327746855,6.481817044372186,-1
89,-10.348369415971307,1.7406820141405968,6.553045803101551,-1
90,-9.698996199717627,3.991583330185006,6.624274561830916,-1
91,-8.566910111956295,6.041185130281888,6.69550332056028,-1
92,-7.009040839006071,7.7875461862578215,6.766732079289645,-1
93,-5.103479645574605,9.1439459531966,6.83796083801901,-1
94,-2.945565003110328,10.043190850650646,6.909189596748374,-1
95,-1.0,10.404425949399148,6.970018717002713,-1
96,-1.0,8.810362408371736,7.051575543738433,-1
97,-1.0,7.216298867344325,7.133132370474151,-1
98,-1.0,5.622235326316915,7.214689197209869,-1
99,-1.0,4.028171785289503,7.296246023945589,-1
100,-1.0,2.4341082442620934,7.377802850681308,-1
101,-1.0,0.8400447032346818,7.459359677417026,-1
102,-1.0,-0.7540188377927306,7.5409165041527455,-1
103,-1.0,-2.3480823788201395,7.622473330888464,-1
104,-1.0,-3.9421459198475497,7.7040301576241825,-1
105,-1.0,-5.536209460874962,7.7855869843599015,-1
106,-1.0,-7.130273001902374,7.8671438110956196,-1
107,-1.0,-8.724336542929784,7.9487006378313385,-1
